Associated Gene Name	Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand	Band	Transcript count	Gene Biotype	Status (gene)
mt-Tl1	ENSMUSG00000064340	MT	2676	2750	1		1	Mt_tRNA	KNOWN
mt-Rnr2	ENSMUSG00000064339	MT	1094	2675	1		1	Mt_rRNA	KNOWN
mt-Tv	ENSMUSG00000064338	MT	1025	1093	1		1	Mt_tRNA	KNOWN
mt-Rnr1	ENSMUSG00000064337	MT	70	1024	1		1	Mt_rRNA	KNOWN
mt-Tf	ENSMUSG00000064336	MT	1	68	1		1	Mt_tRNA	KNOWN
Mir1901	ENSMUSG00000084565	18	11840361	11840438	-1	A1	1	miRNA	KNOWN
AC141477.1	ENSMUSG00000077923	10	76333424	76333516	1	C1	1	miRNA	NOVEL
AC148990.1	ENSMUSG00000093249	7	15946248	15946490	1	A2	1	misc_RNA	NOVEL
AC100600.1	ENSMUSG00000077821	9	74870749	74870842	1	D	1	miRNA	NOVEL
Mir5129	ENSMUSG00000092679	2	45023100	45023177	-1	B	1	miRNA	KNOWN
n-R5s50	ENSMUSG00000065102	14	110161835	110161945	1	E3	1	rRNA	KNOWN
SNORA71	ENSMUSG00000065924	16	71663788	71663918	1	C3.1	1	snoRNA	NOVEL
AC113970.1	ENSMUSG00000095752	1	167349025	167349131	1	H2.3	1	snRNA	NOVEL
Mir22	ENSMUSG00000065529	11	75463716	75463810	1	B5	1	miRNA	KNOWN
U1	ENSMUSG00000064943	1	48462173	48462293	-1	C1.1	1	snRNA	NOVEL
AC168073.41	ENSMUSG00000096285	7	59600776	59600854	-1	B5	1	snoRNA	NOVEL
AL844480.1	ENSMUSG00000094042	4	139922728	139922814	1	D3	1	miRNA	NOVEL
SNORA70	ENSMUSG00000087916	14	20199996	20200112	-1	A3	1	snoRNA	NOVEL
7SK	ENSMUSG00000089256	1	131102393	131102745	-1	E4	1	misc_RNA	NOVEL
AC121540.1	ENSMUSG00000076949	3	123015259	123015368	-1	G1	1	miRNA	NOVEL
AC113291.1	ENSMUSG00000088986	9	62242763	62242867	-1	B	1	miRNA	NOVEL
U6	ENSMUSG00000089306	7	109988078	109988131	1	E3	1	snRNA	NOVEL
snoU13	ENSMUSG00000088778	8	22106980	22107088	-1	A2	1	snoRNA	NOVEL
AC161167.1	ENSMUSG00000095685	18	31389994	31390103	-1	B1	1	miRNA	NOVEL
SNORA70	ENSMUSG00000065036	6	131380273	131380406	-1	F3	1	snoRNA	NOVEL
SNORA4	ENSMUSG00000064665	X	151539700	151539805	-1	F3	1	snoRNA	NOVEL
SNORA42	ENSMUSG00000065297	8	65902057	65902191	1	B3.1	1	snoRNA	NOVEL
SNORA32	ENSMUSG00000064792	6	52639234	52639355	-1	B3	1	snoRNA	NOVEL
U2	ENSMUSG00000065232	12	59040335	59040525	1	C1	1	snRNA	NOVEL
Mir669f	ENSMUSG00000077038	2	10467229	10467349	1	A1	1	miRNA	KNOWN
SNORA17	ENSMUSG00000088084	10	106055958	106056079	-1	D1	1	snoRNA	NOVEL
n-R5s172	ENSMUSG00000077696	5	53346259	53346372	-1	C1	1	rRNA	KNOWN
Mir190b	ENSMUSG00000077996	3	90070020	90070099	1	F1	1	miRNA	KNOWN
U1	ENSMUSG00000088243	9	20173087	20173239	1	A3	1	snRNA	NOVEL
5S_rRNA	ENSMUSG00000088182	8	35747449	35747562	1	A4	1	rRNA	NOVEL
SNORA17	ENSMUSG00000088840	3	116466619	116466715	1	G1	1	snoRNA	NOVEL
5S_rRNA	ENSMUSG00000088404	X	10510048	10510156	1	A1.1	1	rRNA	NOVEL
SNORA17	ENSMUSG00000077641	18	87925431	87925564	-1	E4	1	snoRNA	NOVEL
U6	ENSMUSG00000087732	16	47506319	47506425	-1	B5	1	snRNA	NOVEL
SNORA19	ENSMUSG00000095530	19	60774330	60774461	-1	D3	1	snoRNA	KNOWN
Snord1c	ENSMUSG00000065640	11	116672506	116672581	1	E2	1	snoRNA	KNOWN
SNORD116	ENSMUSG00000096634	7	59897161	59897254	-1	B5	1	snoRNA	NOVEL
SNORA17	ENSMUSG00000077152	16	8402814	8402957	1	A1	1	snoRNA	NOVEL
SNORA25	ENSMUSG00000087785	2	128780376	128780499	1	F1	1	snoRNA	NOVEL
AL845174.1	ENSMUSG00000080490	2	150715952	150716046	-1	G3	1	miRNA	NOVEL
5S_rRNA	ENSMUSG00000094823	6	132564972	132565092	1	G1	1	rRNA	NOVEL
AC164408.1	ENSMUSG00000092810	3	134239942	134240025	1	G3	1	miRNA	NOVEL
AL772216.42	ENSMUSG00000095036	2	10498907	10499003	1	A1	1	miRNA	KNOWN
SNORA17	ENSMUSG00000089279	15	30004062	30004134	-1	B2	1	snoRNA	NOVEL
U6	ENSMUSG00000065802	10	109368088	109368193	-1	D1	1	snRNA	NOVEL
AC166252.3	ENSMUSG00000094807	6	47773329	47773429	1	B2.3	1	miRNA	NOVEL
Mir467f	ENSMUSG00000080573	11	69635400	69635519	-1	B3	1	miRNA	KNOWN
SNORA71	ENSMUSG00000064995	2	158358360	158358472	-1	H1	1	snoRNA	NOVEL
AC131029.1	ENSMUSG00000093873	14	73767862	73767968	-1	D3	1	snRNA	KNOWN
AC124987.1	ENSMUSG00000077892	3	146399134	146399217	-1	H2	1	miRNA	NOVEL
mmu-mir-465b-1	ENSMUSG00000096504	X	66835764	66835842	-1	A7.1	1	miRNA	KNOWN
SNORA62	ENSMUSG00000065269	6	148642524	148642660	-1	G3	1	snoRNA	NOVEL
AL591209.1	ENSMUSG00000093013	11	97941671	97941740	-1	D	1	miRNA	NOVEL
AL627312.1	ENSMUSG00000080681	11	105597625	105597741	1	E1	1	miRNA	NOVEL
7SK	ENSMUSG00000087910	2	116963237	116963549	1	E5	1	misc_RNA	NOVEL
U6	ENSMUSG00000088502	11	24553986	24554058	-1	A3.2	1	snRNA	NOVEL
AC155932.1	ENSMUSG00000093312	10	81217663	81217914	-1	C1	1	misc_RNA	NOVEL
SNORA17	ENSMUSG00000077581	3	157210929	157211060	1	H4	1	snoRNA	NOVEL
AC167971.1	ENSMUSG00000094095	7	59347681	59347759	-1	B5	1	snoRNA	NOVEL
U6	ENSMUSG00000065667	16	48942999	48943102	-1	B5	1	snRNA	NOVEL
U6	ENSMUSG00000084648	14	47270859	47270964	-1	C1	1	snRNA	NOVEL
AC159204.1	ENSMUSG00000092653	12	30557914	30558134	-1	A2	1	miRNA	NOVEL
SNORA52	ENSMUSG00000089297	14	106517389	106517495	-1	E2.3	1	snoRNA	NOVEL
AL589878.1	ENSMUSG00000092913	17	12865125	12865240	-1	A1	1	miRNA	NOVEL
Mir330	ENSMUSG00000065543	7	19181465	19181562	1	A3	1	miRNA	KNOWN
SNORA17	ENSMUSG00000077368	1	13774334	13774464	-1	A3	1	snoRNA	NOVEL
SNORA17	ENSMUSG00000088440	18	56192999	56193133	1	D3	1	snoRNA	NOVEL
SNORD116	ENSMUSG00000077772	7	59923034	59923122	-1	B5	1	snoRNA	NOVEL
SNORA33	ENSMUSG00000065004	12	43743037	43743165	1	B1	1	snoRNA	NOVEL
U6	ENSMUSG00000065898	X	128700546	128700653	1	E3	1	snRNA	NOVEL
AC124613.1	ENSMUSG00000093064	1	190482872	190483157	-1	H6	1	misc_RNA	NOVEL
7SK	ENSMUSG00000088165	10	42309775	42310019	1	B2	1	misc_RNA	NOVEL
AC221015.15	ENSMUSG00000095045	7	59774190	59774283	-1	B5	1	snoRNA	NOVEL
AC161763.1	ENSMUSG00000093126	7	144914471	144914541	1	F5	1	miRNA	NOVEL
Mir3099	ENSMUSG00000092815	7	6803587	6803670	1	A1	1	miRNA	KNOWN
SNORA17	ENSMUSG00000088320	8	18274712	18274821	-1	A1.3	1	snoRNA	NOVEL
SNORA17	ENSMUSG00000094154	11	71233807	71233940	-1	B4	1	snoRNA	NOVEL
SNORA17	ENSMUSG00000089445	6	81806791	81806908	1	C3	1	snoRNA	NOVEL
Snora43	ENSMUSG00000064858	2	26637848	26637974	-1	A3	1	snoRNA	KNOWN
U6	ENSMUSG00000088318	1	87251148	87251248	1	C5	1	snRNA	NOVEL
AL672094.1	ENSMUSG00000092872	X	73756007	73756076	1	A7.3	1	miRNA	NOVEL
Mir432	ENSMUSG00000087855	12	109594956	109595030	1	F1	1	miRNA	KNOWN
U6	ENSMUSG00000089228	10	80476352	80476455	1	C1	1	snRNA	NOVEL
AL714024.1	ENSMUSG00000093690	5	104048003	104048063	1	E5	1	miRNA	NOVEL
7SK	ENSMUSG00000089345	1	69921473	69921747	-1	C3	1	misc_RNA	NOVEL
7SK	ENSMUSG00000088474	5	103602587	103602879	1	E5	1	misc_RNA	NOVEL
SNORA17	ENSMUSG00000077214	4	64444730	64444858	1	C1	1	snoRNA	NOVEL
Mir5106	ENSMUSG00000092677	4	44221195	44221267	-1	B1	1	miRNA	KNOWN
Mir344	ENSMUSG00000065568	7	61877770	61877864	-1	C	1	miRNA	KNOWN
AL772216.6	ENSMUSG00000080500	2	10465287	10465407	1	A1	1	miRNA	NOVEL
mmu-mir-703	ENSMUSG00000076138	9	78478528	78478635	-1	E1	1	miRNA	KNOWN
Mir693	ENSMUSG00000076141	17	46231531	46231619	1	C	1	miRNA	KNOWN
AC162941.1	ENSMUSG00000092714	9	18460210	18460293	-1	A2	1	miRNA	NOVEL
SNORA9	ENSMUSG00000064392	8	84380449	84380581	-1	C2	1	snoRNA	NOVEL
AC134912.1	ENSMUSG00000093128	14	109951399	109951494	1	E3	1	miRNA	NOVEL
7SK	ENSMUSG00000089341	13	54429441	54429700	-1	B1	1	misc_RNA	NOVEL
AC087891.1	ENSMUSG00000094703	10	70882104	70882210	1	B5.3	1	snRNA	KNOWN
SNORA30	ENSMUSG00000064581	14	96588827	96588956	1	E2.1	1	snoRNA	NOVEL
Mir15b	ENSMUSG00000065580	3	69009756	69009853	1	E1	1	miRNA	KNOWN
AC139039.1	ENSMUSG00000095796	16	46219836	46219967	1	B5	1	snoRNA	NOVEL
AC134382.1	ENSMUSG00000092740	10	75952232	75952342	1	C1	1	miRNA	NOVEL
7SK	ENSMUSG00000089241	14	31536957	31537258	-1	B	1	misc_RNA	NOVEL
SNORD20	ENSMUSG00000064696	1	86352008	86352087	-1	C5	1	snoRNA	KNOWN
5S_rRNA	ENSMUSG00000087748	5	65136302	65136420	1	C3.1	1	rRNA	NOVEL
Mir466j	ENSMUSG00000080526	10	60960723	60960844	1	B4	1	miRNA	KNOWN
Mir494	ENSMUSG00000070141	12	109715318	109715402	1	F1	1	miRNA	KNOWN
AC110090.1	ENSMUSG00000096241	1	107756602	107756708	-1	E2.1	1	snRNA	NOVEL
U6	ENSMUSG00000088748	11	78824387	78824473	1	B5	1	snRNA	NOVEL
Snord111	ENSMUSG00000080396	8	110838528	110838616	-1	E1	1	snoRNA	KNOWN
SNORA70	ENSMUSG00000087967	4	62939341	62939474	1	B3	1	snoRNA	NOVEL
U1	ENSMUSG00000065792	10	4104313	4104469	1	A1	1	snRNA	NOVEL
U6	ENSMUSG00000084479	4	49474307	49474410	1	B1	1	snRNA	NOVEL
Mir96	ENSMUSG00000065586	6	30169446	30169551	-1	A3.3	1	miRNA	KNOWN
SNORA17	ENSMUSG00000077682	6	56600818	56600949	-1	B3	1	snoRNA	NOVEL
SNORA16	ENSMUSG00000084690	9	5111399	5111533	1	A1	1	snoRNA	NOVEL
U1	ENSMUSG00000064416	X	151384494	151384643	1	F3	1	snRNA	NOVEL
SNORA17	ENSMUSG00000095333	5	87764679	87764801	-1	E1	1	snoRNA	NOVEL
U6	ENSMUSG00000064737	1	128885909	128886019	-1	E4	1	snRNA	NOVEL
Mir3077	ENSMUSG00000092784	14	57798424	57798487	1	C3	1	miRNA	KNOWN
AC164094.1	ENSMUSG00000096514	6	123506711	123506842	1	F2	1	snoRNA	NOVEL
U1	ENSMUSG00000088543	16	10994386	10994569	1	A1	1	snRNA	NOVEL
SNORA17	ENSMUSG00000089333	10	14233513	14233623	1	A2	1	snoRNA	NOVEL
U6	ENSMUSG00000088179	4	135583748	135583848	1	D3	1	snRNA	NOVEL
7SK	ENSMUSG00000088611	18	40963279	40963552	1	B3	1	misc_RNA	NOVEL
AC171272.6	ENSMUSG00000094308	7	59477493	59477571	-1	B5	1	snoRNA	NOVEL
SNORA17	ENSMUSG00000096087	6	56583715	56583846	-1	B3	1	snoRNA	NOVEL
SNORA63	ENSMUSG00000077621	11	22846868	22846969	1	A3.2	1	snoRNA	NOVEL
SNORA17	ENSMUSG00000095214	13	48572253	48572384	-1	A5	1	snoRNA	NOVEL
U4	ENSMUSG00000084589	19	26260369	26260493	-1	C1	1	snRNA	NOVEL
Mir1306	ENSMUSG00000080452	16	18284239	18284317	-1	A3	1	miRNA	KNOWN
U6	ENSMUSG00000095393	1	139786983	139787086	1	F	1	snRNA	NOVEL
AL672070.1	ENSMUSG00000092963	9	107231621	107231708	-1	F1	1	miRNA	NOVEL
U6	ENSMUSG00000065173	11	36722882	36722987	1	A5	1	snRNA	NOVEL
SNORA64	ENSMUSG00000077463	1	24548841	24548977	-1	A5	1	snoRNA	NOVEL
SNORA17	ENSMUSG00000077456	11	71848076	71848206	-1	B4	1	snoRNA	NOVEL
AL714025.1	ENSMUSG00000093583	13	23450638	23450724	1	A3.1	1	miRNA	NOVEL
U6	ENSMUSG00000065657	11	102549196	102549299	-1	E1	1	snRNA	NOVEL
U6	ENSMUSG00000088221	10	90450910	90451004	1	C2	1	snRNA	NOVEL
Mir1931	ENSMUSG00000089214	10	93162785	93162903	1	C2	1	miRNA	KNOWN
AC087556.1	ENSMUSG00000092662	16	32323145	32323401	1	B3	1	misc_RNA	NOVEL
7SK	ENSMUSG00000089061	6	46037776	46038079	1	B2.3	1	misc_RNA	NOVEL
U6	ENSMUSG00000089162	5	82803765	82803861	1	E1	1	snRNA	NOVEL
AC163694.1	ENSMUSG00000093149	16	64918222	64918305	-1	C1.3	1	miRNA	NOVEL
U6	ENSMUSG00000065253	2	20280519	20280625	1	A3	1	snRNA	NOVEL
7SK	ENSMUSG00000088416	8	120717500	120717754	-1	E1	1	misc_RNA	NOVEL
AC169385.1	ENSMUSG00000095165	16	14807163	14807269	-1	A1	1	snRNA	KNOWN
U6	ENSMUSG00000077433	17	94328755	94328863	-1	E5	1	snRNA	NOVEL
SNORA17	ENSMUSG00000077735	5	147200124	147200253	-1	G3	1	snoRNA	NOVEL
U1	ENSMUSG00000088702	11	106186444	106186587	-1	E1	1	snRNA	NOVEL
U6	ENSMUSG00000084441	14	110732036	110732138	1	E3	1	snRNA	NOVEL
U6	ENSMUSG00000064992	3	132082286	132082392	-1	G3	1	snRNA	NOVEL
AL672290.1	ENSMUSG00000093206	X	41654226	41654316	1	A4	1	miRNA	NOVEL
AC109305.1	ENSMUSG00000094580	1	45807136	45807206	1	C1.1	1	miRNA	NOVEL
SNORA17	ENSMUSG00000089098	4	72906201	72906338	-1	C3	1	snoRNA	NOVEL
AC163215.1	ENSMUSG00000077085	3	92010756	92010865	-1	F1	1	miRNA	NOVEL
SNORA17	ENSMUSG00000077304	11	5560606	5560735	-1	A1	1	snoRNA	NOVEL
AC159474.1	ENSMUSG00000076228	10	81504622	81504718	1	C1	1	miRNA	NOVEL
U7	ENSMUSG00000088970	1	136990211	136990270	-1	E4	1	snRNA	NOVEL
U1	ENSMUSG00000077652	X	109009681	109009847	-1	D	1	snRNA	NOVEL
U7	ENSMUSG00000088107	8	68272574	68272635	1	B3.3	1	snRNA	NOVEL
U6atac	ENSMUSG00000088623	5	92302174	92302292	1	E2	1	snRNA	NOVEL
AC168073.50	ENSMUSG00000096821	7	59572707	59572785	-1	B5	1	snoRNA	NOVEL
AL589902.1	ENSMUSG00000092796	2	165908051	165908175	-1	H3	1	miRNA	NOVEL
Mir1896	ENSMUSG00000084590	13	21445160	21445240	1	A3.1	1	miRNA	KNOWN
AC113092.1	ENSMUSG00000089378	6	120118396	120118485	-1	F1	1	miRNA	NOVEL
5S_rRNA	ENSMUSG00000088207	12	4347647	4347760	1	A1.1	1	rRNA	NOVEL
Mir365-2	ENSMUSG00000065489	11	79726400	79726511	1	B5	1	miRNA	KNOWN
AC141881.8	ENSMUSG00000094270	8	123618536	123618654	-1	E1	1	rRNA	KNOWN
Snord90	ENSMUSG00000077756	2	37400047	37400157	-1	B	1	snoRNA	KNOWN
AC139317.1	ENSMUSG00000092859	15	99622124	99622210	-1	F1	1	miRNA	NOVEL
U6	ENSMUSG00000089471	X	164268071	164268176	-1	F5	1	snRNA	NOVEL
AL772216.8	ENSMUSG00000080624	2	10506755	10506855	1	A1	1	miRNA	NOVEL
AC136741.1	ENSMUSG00000080363	7	128826347	128826467	1	F3	1	miRNA	NOVEL
AC172750.16	ENSMUSG00000096313	7	59881989	59882082	-1	B5	1	snoRNA	KNOWN
Mir694	ENSMUSG00000076147	18	66219264	66219333	-1	E1	1	miRNA	KNOWN
SNORA17	ENSMUSG00000077659	9	123162371	123162503	1	F4	1	snoRNA	NOVEL
SNORA17	ENSMUSG00000088125	11	35214401	35214537	1	A4	1	snoRNA	NOVEL
5S_rRNA	ENSMUSG00000089599	11	68053335	68053460	1	B3	1	rRNA	NOVEL
CT030729.1	ENSMUSG00000092908	17	65509368	65509492	1	E1.1	1	miRNA	NOVEL
SNORA17	ENSMUSG00000077416	15	75759859	75759989	1	D3	1	snoRNA	NOVEL
AC165366.1	ENSMUSG00000095697	13	50544626	50544734	-1	A5	1	miRNA	KNOWN
SNORA17	ENSMUSG00000077314	1	20915410	20915540	-1	A4	1	snoRNA	NOVEL
U6	ENSMUSG00000065788	3	130205465	130205571	1	G3	1	snRNA	KNOWN
5S_rRNA	ENSMUSG00000095072	X	102838155	102838255	1	D	1	rRNA	NOVEL
Vault	ENSMUSG00000064905	8	65367301	65367443	1	B3.1	1	misc_RNA	NOVEL
mmu-mir-692-2	ENSMUSG00000094403	4	125504749	125504857	1	D2.2	1	miRNA	KNOWN
7SK	ENSMUSG00000088395	4	143340399	143340706	1	E1	1	misc_RNA	NOVEL
SNORA17	ENSMUSG00000077629	17	59225723	59225843	-1	D	1	snoRNA	NOVEL
AC113593.1	ENSMUSG00000076395	15	82408458	82408543	1	E1	1	miRNA	NOVEL
AC117644.4	ENSMUSG00000095735	7	62121721	62121808	-1	C	1	miRNA	NOVEL
AL928551.1	ENSMUSG00000092822	4	13622643	13622763	-1	A1	1	miRNA	NOVEL
AC168073.12	ENSMUSG00000094522	7	59612005	59612083	-1	B5	1	snoRNA	NOVEL
AC151601.1	ENSMUSG00000096317	7	17461323	17461432	-1	A2	1	miRNA	NOVEL
SNORA36	ENSMUSG00000064410	4	46495155	46495285	1	B1	1	snoRNA	NOVEL
SNORA17	ENSMUSG00000089237	3	153708911	153709026	1	H3	1	snoRNA	NOVEL
7SK	ENSMUSG00000088456	14	21263624	21263859	1	A3	1	misc_RNA	NOVEL
SNORA17	ENSMUSG00000077398	12	104419273	104419400	-1	E	1	snoRNA	NOVEL
U6	ENSMUSG00000064745	7	16624575	16624677	-1	A2	1	snRNA	NOVEL
AC154308.1	ENSMUSG00000093850	16	53153372	53153442	1	B5	1	miRNA	NOVEL
AC124659.1	ENSMUSG00000095792	15	55262542	55262603	-1	D1	1	snRNA	NOVEL
AL833773.1	ENSMUSG00000095856	4	93745888	93745997	-1	C5	1	miRNA	NOVEL
U7	ENSMUSG00000088029	7	95520841	95520899	1	E1	1	snRNA	NOVEL
Mir1298	ENSMUSG00000080331	X	147064905	147065002	1	F2	1	miRNA	KNOWN
AL844871.1	ENSMUSG00000077979	2	57104656	57104745	1	C1.1	1	miRNA	NOVEL
SNORA17	ENSMUSG00000077280	10	129302091	129302224	1	D3	1	snoRNA	NOVEL
mmu-mir-1194	ENSMUSG00000080383	X	56070664	56070784	1	A5	1	miRNA	KNOWN
U6	ENSMUSG00000093856	5	144013998	144014101	1	G2	1	snRNA	NOVEL
U7	ENSMUSG00000095708	9	53351312	53351377	1	A5.3	1	snRNA	NOVEL
Mir103-2	ENSMUSG00000065563	2	131288052	131288137	1	F1	1	miRNA	KNOWN
U7	ENSMUSG00000089053	17	14791941	14792004	-1	A2	1	snRNA	NOVEL
7SK	ENSMUSG00000089453	7	79352488	79352745	-1	D2	1	misc_RNA	NOVEL
U3	ENSMUSG00000089058	2	161445330	161445530	-1	H2	1	snoRNA	NOVEL
U6	ENSMUSG00000065943	X	162114238	162114341	1	F4	1	snRNA	NOVEL
U6	ENSMUSG00000065291	X	74534285	74534391	1	A7.3	1	snRNA	NOVEL
SNORA17	ENSMUSG00000088362	6	145366858	145366944	1	G3	1	snoRNA	NOVEL
AC221015.7	ENSMUSG00000094218	7	59766611	59766704	-1	B5	1	snoRNA	NOVEL
AC221015.12	ENSMUSG00000094960	7	59711009	59711102	-1	B5	1	snoRNA	KNOWN
U1	ENSMUSG00000077471	1	65001307	65001462	-1	C2	1	snRNA	NOVEL
7SK	ENSMUSG00000089048	10	25281600	25281852	-1	A4	1	misc_RNA	NOVEL
SNORA73	ENSMUSG00000064380	9	120129351	120129553	1	F4	1	snoRNA	NOVEL
5_8S_rRNA	ENSMUSG00000088595	6	94826781	94826923	-1	D2	1	rRNA	NOVEL
U6	ENSMUSG00000088490	19	43857245	43857351	-1	C3	1	snRNA	NOVEL
n-R5s152	ENSMUSG00000070150	7	20010084	20010202	-1	A3	1	rRNA	KNOWN
AC104324.1	ENSMUSG00000095323	6	83090311	83090387	-1	C3	1	miRNA	KNOWN
7SK	ENSMUSG00000088102	5	91982705	91982980	1	E2	1	misc_RNA	NOVEL
U6	ENSMUSG00000088620	1	31656632	31656738	-1	B	1	snRNA	NOVEL
n-R5s151	ENSMUSG00000065893	7	16471813	16471931	1	A2	1	rRNA	KNOWN
AC116739.1	ENSMUSG00000095740	17	46232725	46232831	-1	C	1	snRNA	NOVEL
U6	ENSMUSG00000094976	X	154979339	154979448	1	F3	1	snRNA	NOVEL
AC168073.18	ENSMUSG00000094890	7	59678509	59678602	-1	B5	1	snoRNA	KNOWN
U6	ENSMUSG00000089437	X	140679696	140679802	1	F1	1	snRNA	NOVEL
U7	ENSMUSG00000089086	7	33777590	33777654	-1	B1	1	snRNA	NOVEL
U6	ENSMUSG00000070214	10	58349498	58349604	-1	B4	1	snRNA	NOVEL
SNORA17	ENSMUSG00000089454	18	15874661	15874789	1	A1	1	snoRNA	NOVEL
SNORA17	ENSMUSG00000077728	3	37995105	37995235	-1	B	1	snoRNA	NOVEL
Mir496	ENSMUSG00000070136	12	109739119	109739197	1	F1	1	miRNA	KNOWN
SNORA17	ENSMUSG00000077442	11	77658576	77658707	-1	B5	1	snoRNA	NOVEL
AC162934.1	ENSMUSG00000095027	13	50262394	50262502	1	A5	1	miRNA	NOVEL
U6	ENSMUSG00000088057	7	81669728	81669835	1	D3	1	snRNA	NOVEL
Mir669d	ENSMUSG00000077834	2	10468343	10468463	1	A1	1	miRNA	KNOWN
n-R5s2	ENSMUSG00000075918	X	6106891	6107009	1	A1.1	1	rRNA	KNOWN
SNORA17	ENSMUSG00000088697	X	68563127	68563252	1	A7.1	1	snoRNA	NOVEL
U6	ENSMUSG00000088625	4	148555697	148555804	1	E2	1	snRNA	NOVEL
SNORA17	ENSMUSG00000077674	X	82692239	82692370	-1	C1	1	snoRNA	NOVEL
SNORA17	ENSMUSG00000088046	14	94448221	94448351	-1	E2.1	1	snoRNA	NOVEL
U6	ENSMUSG00000064746	11	15412300	15412406	1	A2	1	snRNA	NOVEL
AC102463.2	ENSMUSG00000096585	1	96303146	96303255	1	D	1	miRNA	NOVEL
7SK	ENSMUSG00000084683	X	140641960	140642261	-1	F1	1	misc_RNA	NOVEL
BX255277.1	ENSMUSG00000076337	11	16645438	16645538	-1	A2	1	miRNA	NOVEL
AC090495.1	ENSMUSG00000094394	1	165809636	165809742	-1	H2.3	1	snRNA	NOVEL
mmu-mir-465c-1	ENSMUSG00000095782	X	66825955	66826035	-1	A7.1	1	miRNA	KNOWN
SNORA17	ENSMUSG00000089461	10	110796173	110796300	1	D1	1	snoRNA	NOVEL
n-R5s85	ENSMUSG00000065387	9	65836353	65836465	1	C	1	rRNA	KNOWN
5S_rRNA	ENSMUSG00000094541	8	123601572	123601680	-1	E1	1	rRNA	NOVEL
AC133514.1	ENSMUSG00000080515	5	7888685	7888793	1	A1	1	miRNA	NOVEL
AC134908.2	ENSMUSG00000096451	17	25694114	25694220	-1	A3.3	1	snRNA	NOVEL
AC137107.1	ENSMUSG00000092911	5	105774150	105774222	1	E5	1	miRNA	NOVEL
U7	ENSMUSG00000088180	14	56852830	56852888	-1	C3	1	snRNA	NOVEL
snoU13	ENSMUSG00000088467	10	21588377	21588476	1	A3	1	snoRNA	NOVEL
U6	ENSMUSG00000065313	7	18549085	18549191	1	A3	1	snRNA	NOVEL
AC168073.6	ENSMUSG00000094148	7	59580191	59580269	-1	B5	1	snoRNA	NOVEL
n-R5s205	ENSMUSG00000065083	2	120640711	120640835	-1	E5	1	rRNA	KNOWN
U6	ENSMUSG00000065074	X	21901732	21901838	-1	A2	1	snRNA	NOVEL
AC122926.1	ENSMUSG00000093964	6	74340950	74341081	1	C1	1	snoRNA	NOVEL
SNORD56	ENSMUSG00000065289	2	130277697	130277766	1	F1	1	snoRNA	NOVEL
5S_rRNA	ENSMUSG00000089120	14	88126998	88127097	1	E1	1	rRNA	NOVEL
7SK	ENSMUSG00000088943	1	15879530	15879832	1	A3	1	misc_RNA	NOVEL
